DateTime,AddedIPs,RemovedIPs
1596612276,17,35
1596614169,36,26
1596616088,12,38
1596618049,19,12
1596619929,23,26
1596622147,28,19
1596624037,17,22
1596627849,16,33
1596631688,15,53
1596633608,32,29
1596635554,30,26
1596637462,9,18
1596639366,17,26
1596642252,15,35
1596646089,12,58
1596648006,39,35
1596649954,29,27
1596651875,17,41
1596653767,30,33
1596655685,15,35
1596657650,29,40
1596659524,27,30
1596661694,37,25
1596663607,25,38
1596665560,26,13
1596667445,23,31
1596669368,28,43
1596671319,14,26
1596673204,24,41
1596675125,34,25
1596677076,21,38
1596678967,33,34
1596680885,10,33
1596682840,25,37
1596684724,21,41
1596686647,23,29
1596688599,17,16
1596690486,34,21
1596694356,31,44
1596696248,11,33
1596698169,28,33
1596700117,20,20
1596702006,14,43
1596703927,13,13
1596705879,19,22
1596707770,26,32
1596709687,14,40
1596711638,26,27
1596713526,22,0
1596717396,22,19
1596719294,20,20
1596721239,30,32
1596723132,3,30
1596725049,13,8
1596726977,37,17
1596728896,12,14
1596730834,48,0
1596732730,42,13
1596736595,48,61
1596738487,18,15
1596740440,34,35
1596744247,28,47
1596746204,37,23
1596748115,37,35
1596750007,30,0
1596751932,31,30
1596753874,14,46
1596755768,25,0
1596757688,27,26
1596759632,31,52
1596761525,37,0
1596765393,32,83
1596767289,22,11
1596771157,38,43
1596773051,44,26
1596774994,43,0
1596776911,39,49
1596778810,38,0
1596780763,36,29
1596782650,25,13
1596784567,27,0
1596788409,20,59
1596790327,17,0
1596792275,18,15
1596794193,31,39
1596796097,28,15
1596798045,25,20
1596799933,28,18
1596802101,11,0
1596804038,40,18
1596805929,37,21
1596807880,28,25
1596809780,27,3
1596811693,43,10
1596813634,42,38
1596815535,35,10
1596817447,41,50
1596819398,30,39
1596821286,32,0
1596823219,40,46
1596825154,27,13
1596827055,41,37
1596828967,34,0
1596830916,34,26
1596832806,30,33
1596834727,36,35
1596836691,32,33
1596838600,28,28
1596842406,38,32
1596844325,35,21
1596846275,34,28
1596848166,30,34
1596850085,30,0
1596852036,41,33
1596853932,43,20
1596855848,38,0
1596859687,33,72
1596861612,28,35
1596863555,30,32
1596865450,33,35
1596867369,27,30
1596869316,17,23
1596871204,25,28
1596873125,24,0
1596875077,16,19
1596876969,25,20
1596878929,21,11
1596880851,34,33
1596882726,20,23
1596884652,34,24
1596886595,24,28
1596888490,32,0
1596890406,29,8
1596892358,41,72
1596894253,24,0
1596896170,13,23
1596898117,16,61
1596900032,22,0
1596901929,29,41
1596903890,23,58
1596905767,39,0
1596907686,19,56
1596909635,30,36
1596911524,29,0
1596913701,22,79
1596915610,22,34
1596919448,33,63
1596921384,16,30
1596923317,13,31
1596925209,18,26
1596930966,22,70
1596933131,25,35
1596935049,29,30
1596936994,27,29
1596938894,22,36
1596940811,33,40
1596942758,23,40
1596944649,20,0
1596946571,28,40
1596948517,32,29
1596950410,23,31
1596952328,28,30
1596954279,20,28
1596956170,24,27
1596958089,14,27
1596960040,26,31
1596961931,30,22
1596965794,20,41
1596967691,21,36
1596969608,24,17
1596971559,18,38
1596973447,14,25
1596975369,25,34
1596977316,20,32
1596979206,28,38
1596981127,30,25
1596983077,14,15
1596984967,36,25
1596986889,34,29
1596988842,33,33
1596990729,35,23
1596992653,42,41
1596994595,32,23
1596996489,30,28
1596998412,24,29
1597002249,33,51
1597004169,31,0
1597006120,27,29
1597008006,28,17
1597009929,28,19
1597013772,31,22
1597015685,33,0
1597017641,34,23
1597019529,38,0
1597021695,34,51
1597023610,24,26
1597025558,27,22
1597027450,43,32
1597029370,25,23
1597031323,31,19
1597033207,36,27
1597035127,43,30
1597037122,25,19
1597038967,35,29
1597040886,26,21
1597042843,31,27
1597044728,27,16
1597046652,27,26
1597048593,21,31
1597050497,25,0
1597052416,28,17
1597054357,34,26
1597056249,41,22
1597058170,23,16
1597060121,27,13
1597062016,31,20
1597063929,35,15
1597065878,36,21
1597067770,34,24
1597069685,13,12
1597071634,44,31
1597073655,41,35
1597075715,25,30
1597077610,37,29
1597079525,28,44
1597081475,31,31
1597083369,36,30
1597085289,28,26
1597089125,30,34
1597091047,22,26
1597092993,32,29
1597094888,28,26
1597096814,29,22
1597098752,37,0
1597100654,30,30
1597104529,41,70
1597106406,40,35
1597108331,41,36
1597110272,33,24
1597112164,36,21
1597114084,38,35
1597116035,26,32
1597117926,31,28
1597119849,32,38
1597121791,29,49
1597123690,26,25
1597125635,47,35
1597128487,24,28
1597130434,31,33
1597132327,23,24
1597134248,16,34
1597136193,27,16
1597138091,32,28
1597140069,24,26
1597141958,30,35
1597143851,29,34
1597145771,27,17
1597147718,28,39
1597149606,32,32
1597151529,37,35
1597153474,28,38
1597155366,19,39
1597161124,25,87
1597163079,21,30
1597164966,17,44
1597166925,17,24
1597168896,35,26
1597170733,44,37
1597172656,28,30
1597174592,48,0
1597176491,32,31
1597178413,42,24
1597180354,37,31
1597182246,34,27
1597184165,33,30
1597189925,36,79
1597191876,28,41
1597193768,25,40
1597195685,29,38
1597197713,42,36
1597199528,23,38
1597203608,24,68
1597205555,29,35
1597207447,21,37
1597209368,31,29
1597211311,38,24
1597213239,28,39
1597215126,28,28
1597217074,21,30
1597220890,15,48
1597222841,19,25
1597224730,23,30
1597226892,26,28
1597228812,34,34
1597230762,29,33
1597233160,33,39
1597235051,21,32
1597236996,32,36
1597238886,35,39
1597240813,39,28
1597242753,9,18
1597244922,9,0
1597246818,18,0
1597249042,24,23
1597250930,18,17
1597252836,24,15
1597254771,29,20
1597256652,22,33
1597258595,39,45
1597260488,35,31
1597262416,33,34
1597264353,33,40
1597266260,41,39
1597268167,38,33
1597270132,33,32
1597272008,31,39
1597273931,24,0
1597275875,30,0
1597277775,33,36
1597279696,31,25
1597283527,41,53
1597285451,40,30
1597289285,43,23
1597291218,28,23
1597293153,32,32
1597295321,31,25
1597297206,34,29
1597299132,28,40
1597301080,35,25
1597302966,29,28
1597304886,31,26
1597306831,30,0
1597308724,20,21
1597310655,13,18
1597312593,25,21
1597314502,28,26
1597316408,24,40
1597318356,15,27
1597320247,28,34
1597322166,42,19
1597324112,32,38
1597326008,28,31
1597327930,10,48
1597329873,8,7
1597331783,17,8
1597335674,20,40
1597337527,25,15
1597339448,22,25
1597341393,40,26
1597343286,31,17
1597345217,32,34
1597347202,35,38
1597353407,33,116
1597355285,29,31
1597357234,35,35
1597359128,25,24
1597361079,30,28
1597362966,28,29
1597366848,23,65
1597368729,21,0
1597370648,29,49
1597372596,27,40
1597374497,25,0
1597376414,16,35
1597378353,21,29
1597380253,35,28
1597382166,23,33
1597384114,26,38
1597386040,30,26
1597387929,31,34
1597389878,27,32
1597391769,31,31
